,uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration,h/s
35555,spotify:track:4TnEMCz0Kmhg7BIBsWr02n,0.0144,0.0509,0.675,0.494,0,0.000328,0.21,-10.349,0.0368,94.979,141531,s
35556,spotify:track:5lyCpwOcpKJAJdwLBUxqXa,0.104,0.682,0.758,0.827,4,2.59e-05,0.0785,-6.257,0.282,154.014,210720,s
35557,spotify:track:4C1iBrNi1tNxyq8TM2ZdpD,0.227,0.16,0.312,0.537,4,0.000211,0.0927,-11.919,0.0448,97.332,159247,s
35558,spotify:track:4OOgUcQl55tCMwe1lVcXlr,0.00544,0.807,0.541,0.705,8,1.14e-05,0.223,-10.569,0.042,154.992,103900,s
35559,spotify:track:6GUML3uOnWKBwf2JYWoeLC,0.224,0.721,0.841,0.447,4,0.0,0.348,-11.821,0.437,80.003,165000,s
35560,spotify:track:5VueRmyTeBdqcMhlJgBEMi,0.0722,0.158,0.824,0.493,8,6.44e-05,0.158,-8.271,0.0559,125.001,153600,s
35561,spotify:track:6SLkoskMAOHWyVqka18azJ,0.0334,0.219,0.759,0.594,8,0.0,0.196,-6.016,0.0582,142.965,184933,s
35562,spotify:track:2DXoEQuwJEaOpFpCj6bL3s,0.0958,0.619,0.753,0.749,1,6.67e-05,0.0717,-3.898,0.127,104.031,152332,s
35563,spotify:track:1sk33EfLWhCgJJ0MIZQXZ2,0.395,0.69,0.591,0.64,6,0.0,0.0499,-6.183,0.343,78.968,151333,s
35564,spotify:track:7aL7cy4oUpDBElUHklafYM,0.0696,0.405,0.737,0.787,5,0.195,0.325,-5.104,0.0648,155.041,136258,s
35565,spotify:track:7vKzzxdQevFwflwfaz0nun,0.41,0.715,0.849,0.62,10,0.0,0.113,-6.284,0.205,81.982,158049,s
35566,spotify:track:3dlidjgcA5mRs5SAhwl4HZ,0.161,0.237,0.901,0.367,2,1.55e-06,0.236,-10.106,0.305,106.95,253022,s
35567,spotify:track:5mVLEyhLbyNeuebBnLSfCM,0.293,0.737,0.787,0.644,11,0.0,0.131,-5.863,0.431,142.867,218182,s
35568,spotify:track:0E5KPpY28JoheXGM1DZRct,0.00342,0.0633,0.812,0.554,0,0.00206,0.123,-4.893,0.123,119.964,188056,s
35569,spotify:track:3gvW2FEDj5QBKHcrvMbWaS,0.117,0.805,0.546,0.586,7,0.0,0.179,-7.707,0.0719,159.913,173999,s
35570,spotify:track:7evTceKtCaBbxoLIqICIVh,0.093,0.846,0.556,0.875,1,1.37e-05,0.0909,-4.675,0.312,92.117,190501,s
35571,spotify:track:7te86CYiCTAMYSEcODbPMK,0.242,0.788,0.905,0.531,2,0.000401,0.0809,-9.379,0.11,120.02,114194,s
35572,spotify:track:2qpA5KPmm43p9KgIM764Oi,0.0908,0.641,0.705,0.657,1,0.0,0.0965,-10.203,0.406,176.943,154828,s
35573,spotify:track:3EUcOvrNusPaQDCVIGmIpW,0.328,0.54,0.658,0.485,0,0.0,0.14,-7.345,0.0896,82.345,165238,s
35574,spotify:track:1IdOmk37rNmzQOuVdCPk6U,0.0205,0.0885,0.793,0.55,2,0.0,0.0541,-8.977,0.0967,132.024,173233,s
35575,spotify:track:66zkm9LHWDcxs87yfmBj44,0.0924,0.604,0.791,0.703,10,0.0,0.11,-4.534,0.104,106.993,179827,s
35576,spotify:track:4UEkrnmeEDhsz1tzZPS0ON,0.153,0.456,0.858,0.534,8,0.0,0.119,-9.368,0.353,126.069,137160,s
35577,spotify:track:0GHYYcIqDk1GZTaYTV93uP,0.194,0.643,0.601,0.638,6,0.000101,0.134,-8.99,0.329,62.878,132284,s
